Experience 1;Experience 2;Experience 3;Experience 4;Experience 5
1,2787;13,7315;;;
0,303;6,497;;;
0,0677;4,337;;;
0,0173;4,1538;;;
0,0055;3,3986;;;
0,00557;2,9802;;;
0,0024;2,328;;;
0,0022;3,0869;;;
0,004;2,8719;;;
0,001;2,3632;;;
0,0016;1,7379;;;
0,0025;1,569;;;
0,0095;1,2403;;;
0,0011;1,6152;;;
0,001;1,6865;;;
0,0009;1,9527;;;
0,0012;1,3991;;;
0,0008;1,5474;;;
0,0006;1,2937;;;
0,0004;1,0365;;;
0,0006;0,9631;;;
0,0005;0,9874;;;
0,0004;0,8909;;;
0,0006;1,1952;;;
0,0005;0,9545;;;
0,0006;1,0708;;;
0,0018;1,0203;;;
0,0007;0,7184;;;
0,0004;0,728;;;
0,0016;0,8291;;;
0,0023;0,6942;;;
0,0011;0,9574;;;
0,0002;0,9054;;;
0,0016;;;;
0,0004;;;;
0,0004;;;;
0,0002;;;;
0,0003;;;;
0,0005;;;;
0,0002;;;;
0,0002;;;;
0,0004;;;;
0,0003;;;;
0,0005;;;;
0,0001;;;;
0,0001;;;;
0,0002;;;;
0,0001;;;;
0,0001;;;;
0,0001;;;;
0,0001;;;;
0;;;;
0;;;;
0;;;;
0;;;;
0;;;;
